,declaredCountyArea,placeCode
955,Coffey (County),99031.0
956,Mitchell (County),99123.0
957,Bonner (County),99017.0
958,Polk (County),99143.0
959,Wayne (County),99179.0
960,Kingman (County),99095.0
961,Pottawatomie (County),99149.0
962,Butler (County),99023.0
963,Douglas (County),99055.0
964,Kearney (County),99099.0
965,Platte (County),99141.0
966,Chase (County),99017.0
967,Jefferson (County),99087.0
968,Tanana (ANV/ANVSA),75165.0
969,Jefferson (County),99095.0
970,Saline (County),99151.0
971,Anderson (County),99003.0
972,Linn (County),99107.0
973,Wabaunsee (County),99197.0
974,Franklin (County),99059.0
975,Keya Paha (County),99103.0
976,York (County),99185.0
977,Cloud (County),99029.0
978,Republic (County),99157.0
979,Benewah (County),99009.0
980,Seward (County),99159.0
981,Gage (County),99067.0
982,Miami (County),99121.0
983,Saunders (County),99155.0
984,Colfax (County),99037.0
985,Marion (County),99115.0
986,Merrick (County),99121.0
987,Lancaster (County),99109.0
988,Douglas (County),99045.0
989,Crawford (County),99037.0
990,Hall (County),99079.0
991,Stanton (County),99167.0
992,Nemaha (County),99131.0
993,Richardson (County),99147.0
994,Leavenworth (County),99103.0
995,Nance (County),99125.0
996,Finney (County),99055.0
997,Boone (County),99011.0
998,Harlan (County),99083.0
999,Thurston (County),99173.0
1000,Osage (County),99139.0
1001,Phelps (County),99137.0
1002,Harper (County),99077.0
1003,Kootenai (County),99055.0
1004,Boundary (County),99021.0
1005,Aransas (County),99007.0
1006,Bee (County),99025.0
1007,Lewis (County),99061.0
1008,Duval (County),99131.0
1009,La Salle (County),99283.0
1010,Hidalgo (County),99215.0
1011,Matagorda (County),99321.0
1012,Nueces (County),99355.0
1013,Jim Hogg (County),99247.0
1014,Starr (County),99427.0
1015,Kenedy (County),99261.0
1016,Cameron (County),99061.0
1017,Karnes (County),99255.0
1018,Shoshone (County),99079.0
1019,Gonzales (County),99177.0
1020,Johnston (County),99101.0
1021,Craven (County),99049.0
1022,Idaho (County),99049.0
1023,Jackson (County),99239.0
1024,Live Oak (County),99297.0
