disasterNumber,state,declaredCountyArea,placeCode
1450,AR,Searcy (County),99129.0
1450,AR,White (County),99145.0
1453,OH,Adams (County),99001.0
1453,OH,Delaware (County),99041.0
1453,OH,Preble (County),99135.0
1453,OH,Vinton (County),99163.0
1451,SC,Laurens (County),99059.0
1451,SC,York (County),99091.0
1453,OH,Gallia (County),99053.0
1453,OH,Harrison (County),99067.0
1454,KY,Bath (County),99011.0
1454,KY,Bracken (County),99023.0
1452,OK,Canadian (County),99017.0
1453,OH,Pike (County),99131.0
1453,OH,Licking (County),99089.0
1451,SC,Cherokee (County),99021.0
1454,KY,Casey (County),99045.0
1453,OH,Fayette (County),99047.0
1452,OK,Osage (County),99113.0
1453,OH,Washington (County),99167.0
1453,OH,Morgan (County),99115.0
1454,KY,Carter (County),99043.0
1453,OH,Belmont (County),99013.0
1453,OH,Scioto (County),99145.0
1451,SC,Union (County),99087.0
1453,OH,Guernsey (County),99059.0
1454,KY,Boyd (County),99019.0
1452,OK,Custer (County),99039.0
1453,OH,Madison (County),99097.0
1451,SC,Greenville (County),99045.0
1452,OK,Kingfisher (County),99073.0
1453,OH,Franklin (County),99049.0
1453,OH,Meigs (County),99105.0
1454,KY,Anderson (County),99005.0
1453,OH,Athens (County),99009.0
1453,OH,Ross (County),99141.0
1452,OK,Beckham (County),99009.0
1452,OK,Pawnee (County),99117.0
1453,OH,Muskingum (County),99119.0
1453,OH,Hocking (County),99073.0
1454,KY,Breathitt (County),99025.0
1454,KY,Elliott (County),99063.0
1454,KY,Clark (County),99049.0
1454,KY,Grant (County),99081.0
1454,KY,Jessamine (County),99113.0
1454,KY,Fleming (County),99069.0
1454,KY,Greenup (County),99089.0
1454,KY,Floyd (County),99071.0
1454,KY,Fayette (County),99067.0
1454,KY,Clay (County),99051.0
1454,KY,Harrison (County),99097.0
1454,KY,Knott (County),99119.0
1454,KY,Green (County),99087.0
1454,KY,Grayson (County),99085.0
1454,KY,Johnson (County),99115.0
1454,KY,Estill (County),99065.0
1454,KY,Pike (County),99195.0
1454,KY,Martin (County),99159.0
1455,WV,Harrison (County),99033.0
1455,WV,Cabell (County),99011.0
1454,KY,Pendleton (County),99191.0
1454,KY,Lewis (County),99135.0
1455,WV,Hancock (County),99029.0
1454,KY,Morgan (County),99175.0
1455,WV,Braxton (County),99007.0
1455,WV,Grant (County),99023.0
1454,KY,Shelby (County),99211.0
1454,KY,Menifee (County),99165.0
1455,WV,Lincoln (County),99043.0
1455,WV,Fayette (County),99019.0
1454,KY,Rowan (County),99205.0
1455,WV,Kanawha (County),99039.0
1454,KY,Lee (County),99129.0
1454,KY,Woodford (County),99239.0
1454,KY,Knox (County),99121.0
1454,KY,Whitley (County),99235.0
1454,KY,Lawrence (County),99127.0
1454,KY,Scott (County),99209.0
1454,KY,Wolfe (County),99237.0
1455,WV,Lewis (County),99041.0
1454,KY,Letcher (County),99133.0
1455,WV,Boone (County),99005.0
1454,KY,Washington (County),99229.0
1454,KY,Mason (County),99161.0
1454,KY,Leslie (County),99131.0
1455,WV,Calhoun (County),99013.0
1455,WV,Berkeley (County),99003.0
1454,KY,Perry (County),99193.0
1454,KY,Mercer (County),99167.0
1455,WV,Hardy (County),99031.0
1455,WV,Gilmer (County),99021.0
1454,KY,Robertson (County),99201.0
1454,KY,Owsley (County),99189.0
1455,WV,Hampshire (County),99027.0
1454,KY,Powell (County),99197.0
1455,WV,Jackson (County),99035.0
1455,WV,Jefferson (County),99037.0
1454,KY,Magoffin (County),99153.0
1454,KY,Spencer (County),99215.0
1455,WV,Brooke (County),99009.0
1454,KY,Meade (County),99163.0
1455,WV,Clay (County),99015.0
1454,KY,Nicholas (County),99181.0
1455,WV,Greenbrier (County),99025.0
1455,WV,Marshall (County),99051.0
1455,WV,McDowell (County),99047.0
1455,WV,Ohio (County),99069.0
1455,WV,Mingo (County),99059.0
1455,WV,Pocahontas (County),99075.0
1455,WV,Monroe (County),99063.0
1455,WV,Pendleton (County),99071.0
1455,WV,Monongalia (County),99061.0
1455,WV,Mason (County),99053.0
1455,WV,Mercer (County),99055.0
1455,WV,Morgan (County),99065.0
1455,WV,Logan (County),99045.0
1455,WV,Marion (County),99049.0
1455,WV,Mineral (County),99057.0
1455,WV,Nicholas (County),99067.0
1456,TN,Fentress (County),99049.0
1456,TN,Cannon (County),99015.0
1455,WV,Summers (County),99089.0
1457,NC,Alamance (County),99001.0
1456,TN,Johnson (County),99091.0
1456,TN,Hancock (County),99067.0
1458,VA,Arlington (County),99013.0
1457,NC,Person (County),99145.0
1455,WV,Wirt (County),99105.0
1455,WV,Tyler (County),99095.0
1456,TN,Loudon (County),99105.0
1456,TN,Scott (County),99151.0
1456,TN,Anderson (County),99001.0
1456,TN,Claiborne (County),99025.0
1456,TN,Stewart (County),99161.0
1457,NC,Eastern Band of Cherokee Indians of North Carolina,19390.0
1455,WV,Raleigh (County),99081.0
1456,TN,Humphreys (County),99085.0
1455,WV,Wayne (County),99099.0
1456,TN,Meigs (County),99121.0
1457,NC,Guilford (County),99081.0
1455,WV,Preston (County),99077.0
1456,TN,Bledsoe (County),99007.0
1456,TN,Hardin (County),99071.0
1456,TN,Union (County),99173.0
1457,NC,Rockingham (County),99157.0
1455,WV,Upshur (County),99097.0
